id,groups,sub_categories,categories,person,keyword,count,total_event,period_1_plus,period_1_minus,period_1_total,period_2_plus,period_2_minus,period_2_total,period_1_plus_percentage,period_1_minus_percentage,period_2_plus_percentage,period_2_minus_percentage
130,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วราวุธ ศิลปอาชา,วราวุธ,14,14,0,0,0,13,-1,14,0.0,0.0,92.85714285714286,7.142857142857142
65,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลเอก อนุพงษ์ เผ่าจินดา,"อนุพงษ์ , ป๊อก , บิ๊กป๊อก , พล.อ.อนุพงษ์",14,14,0,0,0,10,-4,14,0.0,0.0,71.42857142857143,28.57142857142857
66,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นิพนธ์ บุญญามณี,นิพนธ์,14,14,0,0,0,9,-5,14,0.0,0.0,64.28571428571429,35.714285714285715
68,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สมศักดิ์ เทพสุทิน,สมศักดิ์,14,14,0,0,0,13,-1,14,0.0,0.0,92.85714285714286,7.142857142857142
107,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สมศักดิ์ เทพสุทิน,สมศักดิ์,14,14,0,0,0,13,-1,14,0.0,0.0,92.85714285714286,7.142857142857142
269,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเศรษฐกิจใหม่,"เศรษฐกิจใหม่ , ศม.",14,14,0,0,0,12,-2,14,0.0,0.0,85.71428571428571,14.285714285714285
195,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชลน่าน ศรีแก้ว,ชลน่าน,13,13,2,0,2,3,-8,11,100.0,0.0,27.27272727272727,72.72727272727273
204,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชลน่าน ศรีแก้ว,ชลน่าน,13,13,2,0,2,3,-8,11,100.0,0.0,27.27272727272727,72.72727272727273
199,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศรัณย์วุฒิ ศรัณย์เกตุ,ศรัณย์วุฒิ,12,12,0,0,0,12,0,12,0.0,0.0,100.0,0.0
231,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,คำนูณ สิทธิสมาน,คำนูณ,12,12,3,-6,9,2,-1,3,33.33333333333333,66.66666666666666,66.66666666666666,33.33333333333333
59,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ,11,11,0,0,0,10,-1,11,0.0,0.0,90.9090909090909,9.090909090909092
111,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ,11,11,0,0,0,10,-1,11,0.0,0.0,90.9090909090909,9.090909090909092
233,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,ถวิล เปลี่ยนศรี,ถวิล,11,11,2,-6,8,2,-1,3,25.0,75.0,66.66666666666666,33.33333333333333
276,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคประชาชาติ,ประชาชาติ,11,11,0,0,0,3,-8,11,0.0,0.0,27.27272727272727,72.72727272727273
260,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลตำรวจเอก จักรทิพย์ ชัยจินดา,"จักรทิพย์ , บิ๊กแป๊ะ",10,10,1,0,1,8,-1,9,100.0,0.0,88.88888888888889,11.11111111111111
117,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชัย ชิดชอบ,ชัย,10,10,1,-2,3,6,-1,7,33.33333333333333,66.66666666666666,85.71428571428571,14.285714285714285
129,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,มิ่งขวัญ แสงสุวรรณ์,"มิ่งขวัญ , เจ๊มิ่ง",10,10,0,-1,1,4,-5,9,0.0,100.0,44.44444444444444,55.55555555555556
83,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,รังสิมันต์ โรม,"รังสิมันต์ , โรม",9,9,0,0,0,5,-4,9,0.0,0.0,55.55555555555556,44.44444444444444
149,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,รังสิมันต์ โรม,รังสิมันต์,9,9,0,0,0,5,-4,9,0.0,0.0,55.55555555555556,44.44444444444444
109,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วิรัช รัตนเศรษฐ,วิรัช,9,9,0,0,0,5,-4,9,0.0,0.0,55.55555555555556,44.44444444444444
194,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศรีนวล บุญลือ,ศรีนวล,9,9,0,0,0,8,-1,9,0.0,0.0,88.88888888888889,11.11111111111111
203,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศรีนวล บุญลือ,ศรีนวล,9,9,0,0,0,8,-1,9,0.0,0.0,88.88888888888889,11.11111111111111
280,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคไทยรักษาชาติ,"ไทยรักษาชาติ , ทษช.",9,9,0,0,0,4,-5,9,0.0,0.0,44.44444444444444,55.55555555555556
32,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สมคิด จาตุศรีพิทักษ์,"สมคิด , รองฯ สมคิด",8,8,0,0,0,3,-5,8,0.0,0.0,37.5,62.5
86,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อมรัตน์ โชคปมิตต์กุล,"อมรัตน์ , เจี๊ยบ ก้าวไกล , เจี๊ยบ , ส.ส.เจี๊ยบ , เจ๊เจี๊ยบ ก้าวไกล , เจี๊ยบ คอนถม",8,8,0,0,0,1,-7,8,0.0,0.0,12.5,87.5
277,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเพื่อชาติ,เพื่อชาติ,8,8,0,0,0,5,-3,8,0.0,0.0,62.5,37.5
39,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อนุชา นาคาศัย,อนุชา,7,7,0,0,0,5,-2,7,0.0,0.0,71.42857142857143,28.57142857142857
177,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อนุชา นาคาศัย,อนุชา,7,7,0,0,0,5,-2,7,0.0,0.0,71.42857142857143,28.57142857142857
56,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ถาวร เสนเนียม,ถาวร,7,7,1,-3,4,2,-1,3,25.0,75.0,66.66666666666666,33.33333333333333
77,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สาธิต ปิตุเตชะ,สาธิต,7,7,1,-3,4,1,-2,3,25.0,75.0,33.33333333333333,66.66666666666666
227,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สาธิต ปิตุเตชะ,สาธิต,7,7,1,-3,4,1,-2,3,25.0,75.0,33.33333333333333,66.66666666666666
