date_time,title,link,person,groups,sub_categories,categories,score,year,month
2012-05-15 19:04:00,ป.ป.ช.โวย อสส.สางคดี “แม้ว” โกงแบงก์กรุงไทยล่าช้า,https://mgronline.com/politics/detail/9550000059961,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,ทักษิณ ชินวัตร,","ป.ป.ช.,คนเบื้องหลังพรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,5
2012-05-15 14:08:00,พท.ยื่น ป.ป.ช.ฟัน “สุขุมพันธุ์” กทม.-กรุงเทพธนาคม ต่อสัญญารถไฟฟ้าเลี่ยง กม.,https://mgronline.com/politics/detail/9550000059662,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคเพื่อไทย,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,5
2012-05-12 14:56:00,ปชป.จี้ อัยการ-ป.ป.ช.แจงคดีเงินกู้เอี่ยว “แม้ว-โอ๊ค” เอาผิด “ปู”ให้การเท็จ,https://mgronline.com/politics/detail/9550000058611,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","ป.ป.ช.,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,5
2012-05-12 12:48:00,พท.จ่อยื่น ป.ป.ช.ฟัน กทม.ขยายสัญญา BTS ปัดข่าว ส.ส.บินพบ“แม้ว”,https://mgronline.com/politics/detail/9550000058573,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ป.ป.ช.,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,5
2012-04-27 16:06:00,พท.ยัน “ปู” รดน้ำไม่มีนัย ยัน ส.ส.ร.ล็อกสเปกไม่ได้ - ร้อง กกต.ค้านรับรอง ส.ส.ปทุมฯ,https://mgronline.com/politics/detail/9550000052515,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,4
2012-04-25 18:11:00,ศาลปกครองไม่รับคำร้องคดี ครม.อนุมัติจ่ายเงินเยียวยาแดง,https://mgronline.com/politics/detail/9550000051601,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2012,4
2012-04-05 18:36:00,กกต.แจกใบเหลือง “ฉัตรชัย” ปชป. สั่งเลือกตั้งใหม่ เขต 2 เมืองกาญจน์,https://mgronline.com/politics/detail/9550000043378,"คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,4
2012-03-30 19:03:00,ศาลปกครองสั่ง ป.ป.ช.เผยข้อมูล “ชายจืด” สั่งสลายชุมนุมพันธมิตรฯ 7 ต.ค.51 ไม่ชอบ,https://mgronline.com/politics/detail/9550000040644,"ศาลปกครอง,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,","ศาลปกครอง,ป.ป.ช.,","สายศาล,สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,",1.0,2012,3
2012-03-30 17:40:00,กกต.ยกคำร้องแจกแดง 2 ส.ส.ประชาธิปัตย์ - 3 พรรคส่งเด็กลงซ่อม ส.ส.ปทุมฯ,https://mgronline.com/politics/detail/9550000040602,"คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,3
2012-03-26 20:13:00,ปชป.ยื่น ป.ป.ช.ตรวจสอบบัญชีทรัพย์สิน “อนุดิษฐ์”,https://mgronline.com/politics/detail/9550000038529,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,นาวาอากาศเอก อนุดิษฐ์ นาครทรรพ,พรรคประชาธิปัตย์,","ป.ป.ช.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,3
2012-03-24 14:28:00,พท.เล็งยื่น ป.ป.ช.ฟัน “สุขุมพันธุ์” ทุจริตซื้อซีซีทีวี,https://mgronline.com/politics/detail/9550000037653,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคเพื่อไทย,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,3
2012-03-12 18:09:00,พท.จ่อยื่น กกต.ยุบ ปชป.ออกปฏิญญาหาดใหญ่,https://mgronline.com/politics/detail/9550000032207,"คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,3
2012-03-11 17:40:00,“มัลลิกา” จ่อยื่น ป.ป.ช.สอบ “อนุดิษฐ์” แจ้งบัญชีทรัพย์สินเท็จ,https://mgronline.com/politics/detail/9550000031665,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,มัลลิกา บุญมีตระกูล มหาสุข,นาวาอากาศเอก อนุดิษฐ์ นาครทรรพ,","ป.ป.ช.,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,3
2012-02-29 18:26:00,ศาลปกครองสั่งผู้ว่าฯ กทม.เยียวยาเหยื่อซานติก้า 3 แสน ฐานละเลยหน้าที่,https://mgronline.com/politics/detail/9550000027367,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2012,2
2012-01-26 22:18:00,"""ปชป."" ค้านพ.ร.ก.เงินกู้ 2 ฉบับ เล็งยื่นศาลรัฐธรรมนูญตีความจันทร์นี้",https://mgronline.com/politics/detail/9550000012033,"ศาลรัฐธรรมนูญ,พรรคประชาธิปัตย์,","ศาลรัฐธรรมนูญ,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,1
2012-01-25 17:16:00,ศาลรัฐธรรมนูญได้คำร้องถอด 8 ส.ส.พท.จาก ปธ.สภาแล้ว,https://mgronline.com/politics/detail/9550000011315,"ศาลรัฐธรรมนูญ,พรรคเพื่อไทย,","ศาลรัฐธรรมนูญ,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,1
2012-01-24 14:45:00,ปชป.ยื่นถอดถอน “ปู-ปึ้ง” ลงดาบสองชง ป.ป.ช.เชือดอาญา,https://mgronline.com/politics/detail/9550000010571,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคประชาธิปัตย์,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,1
2012-01-20 12:54:00,ปชป.จ่อยื่นวุฒิชง ป.ป.ช.ถอด “ปู-ปึ้ง” ออกพาสปอร์ต “แม้ว” เล็งฟ้องอาญาพ่วง 3 ขรก.,https://mgronline.com/politics/detail/9550000008879,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","ป.ป.ช.,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,1
2012-01-17 17:45:00,ศาลปกครองเมินไต่สวนฉุกเฉินเยียวยาม็อบแดง อ้างไม่มีเหตุจำเป็น,https://mgronline.com/politics/detail/9550000007344,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2012,1
